chrom	start	end	target_gene	tss_start	tss_end	gene_length	liver	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	23410515	23504301	ENSG00000169641	23410514	23410515	93786	0.1	0	0.054323145428416084	0.0	0.0	0.402	0.0	12.0	0.378725949860026	3.0	7498.0	606.0	0.25	0.08082155241397707
chr1	23516992	23521222	ENSG00000179546	23516991	23516992	4230	0.0	0	0.6535360832378236	0.0	0.0	1.296	0.0	12.0	0.3787259498600261	3.0	7498.0	606.0	0.25	0.08082155241397707
chr1	23884408	23886285	ENSG00000117318	23884407	23884408	1877	14.4	1	0.04834788799417868	0.0	0.0	0.709	0.0	18.0	0.4549030022205965	6.0	8325.0	1292.0	0.3333333333333333	0.1551951951951952
chr1	24018268	24022915	ENSG00000142676	24018267	24018268	4647	591.0	1	0.052768588564933085	1.0	1.0	0.296	1.0	16.0	0.40483242914303885	4.0	7798.0	1085.0	0.25	0.13913824057450627
chr1	24069644	24088549	ENSG00000011007	24069643	24069644	18905	10.8	1	0.028199288583825838	1.0	1.0	0.119	0.0	16.0	0.40483242914303885	4.0	7798.0	1085.0	0.25	0.13913824057450627
chr1	24480646	24514449	ENSG00000185436	24480645	24480646	33803	3.3	1	0.09427250551235962	0.0	0.0	0.763	0.0	17.0	0.6826786091402691	11.0	9600.0	634.0	0.6470588235294118	0.06604166666666667
chr1	24645811	24690972	ENSG00000158055	24645810	24645811	45161	0.0	0	0.8346636346178993	0.0	1.0	0.277	0.0	17.0	0.6826786091402691	11.0	9600.0	634.0	0.6470588235294118	0.06604166666666667
chr1	24683488	24743424	ENSG00000001460	24683487	24683488	59936	0.5	0	0.0572567126063331	0.0	0.0	1.339	0.0	17.0	0.6826786091402691	11.0	9600.0	634.0	0.6470588235294118	0.06604166666666667
chr1	24742283	24799466	ENSG00000001461	24742282	24742283	57183	1.4	1	0.11992147565712866	0.0	0.0	0.844	0.0	9.0	0.6630193674396299	4.0	5808.0	458.0	0.4444444444444444	0.07885674931129477
chr1	24829386	24867530	ENSG00000117602	24829385	24829386	38144	0.5	0	0.07967952413474128	0.0	0.0	1.313	0.0	9.0	0.6630193674396299	4.0	5808.0	458.0	0.4444444444444444	0.07885674931129477
chr1	24882601	24935819	ENSG00000184454	24882600	24882601	53218	0.6	0	0.4583003177717441	0.0	0.0	1.756	0.0	9.0	0.6630193674396299	4.0	5808.0	458.0	0.4444444444444444	0.07885674931129477
chr1	24958206	24999758	ENSG00000133226	24958205	24958206	41552	13.2	1	0.024481543700206408	1.0	1.0	0.146	1.0	9.0	0.6630193674396299	4.0	5808.0	458.0	0.4444444444444444	0.07885674931129477
chr1	25071847	25170815	ENSG00000169504	25071846	25071847	98968	13.4	1	0.05128584554522927	0.0	0.0	1.159	0.0	31.0	0.4686721254514748	9.0	14825.0	1427.0	0.2903225806451613	0.09625632377740304
chr1	25226001	25291612	ENSG00000020633	25226000	25226001	65611	1.0	0	0.2694343514159967	0.0	0.0	0.424	0.0	13.0	0.5405697463652923	4.0	5349.0	567.0	0.3076923076923077	0.10600112170499158
chr1	25870070	25895377	ENSG00000157978	25870069	25870070	25307	10.9	1	0.09269333132337554	0.0	0.0	1.163	0.0	44.0	0.44979875837615013	11.0	20192.0	1608.0	0.25	0.07963549920760697
chr1	25943958	26112698	ENSG00000117643	25943957	25943958	168740	6.7	1	0.04358991749474712	0.0	0.0	0.434	0.0	44.0	0.44979875837615013	11.0	20192.0	1608.0	0.25	0.07963549920760697
chr1	26126666	26144713	ENSG00000162430	26126665	26126666	18047	7.3	1	0.01493164186679869	0.0	0.0	1.017	0.0	44.0	0.44979875837615013	11.0	20192.0	1608.0	0.25	0.07963549920760697
chr1	26158413	26185903	ENSG00000127423	26158412	26158413	27490	0.2	0	0.07404647056139721	0.0	0.0	1.579	0.0	12.0	0.37648306204261056	1.0	5313.0	167.0	0.08333333333333333	0.031432335780161864
chr1	26187700	26197744	ENSG00000182749	26187699	26187700	10044	1.9	1	0.10655391235971508	0.0	0.0	1.175	0.0	12.0	0.37648306204261056	1.0	5313.0	167.0	0.08333333333333333	0.031432335780161864
chr1	26210671	26233482	ENSG00000117632	26210670	26210671	22811	7.9	1	0.26550081104013146	0.0	0.0	0.944	0.0	12.0	0.37648306204261056	1.0	5313.0	167.0	0.08333333333333333	0.031432335780161864
chr1	26286257	26324648	ENSG00000158006	26286256	26286257	38391	5.3	1	0.11371882885611022	0.0	0.0	1.113	0.0	12.0	0.37648306204261056	1.0	5313.0	167.0	0.08333333333333333	0.031432335780161864
chr1	26496361	26498551	ENSG00000142684	26496360	26496361	2190	7.5	1	0.062221286964571715	1.0	0.0	1.693	0.0	0.0		0.0				
chr1	26503893	26516377	ENSG00000142675	26503892	26503893	12484	0.6	0	0.11403056135705715	0.0	0.0	1.282	0.0	0.0		0.0				
chr1	26560690	26605299	ENSG00000130695	26560689	26560690	44609	2.4	1	0.1878774389956173	0.0	0.0	0.53	1.0	6.0	0.20851684870111784	0.0	2241.0	444.0	0.0	0.19812583668005354
chr1	26605666	26608007	ENSG00000142669	26605665	26605666	2341	37.8	1	0.03667100237670372	0.0	0.0	1.059	0.0	6.0	0.20851684870111784	0.0	2241.0	444.0	0.0	0.19812583668005354
chr1	26607818	26644854	ENSG00000158062	26607817	26607818	37036	3.2	1	0.0418219913578769	0.0	0.0	1.142	0.0	6.0	0.20851684870111784	0.0	2241.0	444.0	0.0	0.19812583668005354
chr1	26644447	26647014	ENSG00000169442	26644446	26644447	2567	10.0	1	0.2803848991164801	0.0	0.0	1.698	0.0	6.0	0.20851684870111784	0.0	2241.0	444.0	0.0	0.19812583668005354
chr1	26648349	26680621	ENSG00000176092	26648348	26648349	32272	0.1	0	0.4308660655052658	0.0	0.0	0.793	0.0	6.0	0.20851684870111784	0.0	2241.0	444.0	0.0	0.19812583668005354
chr1	26856251	26901521	ENSG00000117676	26856250	26856251	45270	4.4	1	0.13547313142727835	0.0	0.0	0.515	0.0	36.0	0.5413936963054664	13.0	14913.0	3437.0	0.3611111111111111	0.2304700596794743
chr1	27022523	27108595	ENSG00000117713	27022522	27022523	86072	5.7	1	0.011762782971970524	0.0	1.0	0.071	0.0	37.0	0.5537884612701834	14.0	15143.0	3437.0	0.3783783783783784	0.22696955689097273
chr1	27113962	27124889	ENSG00000060642	27113961	27113962	10927	9.1	1	0.03376156148995752	0.0	0.0	1.238	1.0	37.0	0.5537884612701834	14.0	15143.0	3437.0	0.3783783783783784	0.22696955689097273
chr1	27153200	27184093	ENSG00000204160	27153199	27153200	30893	7.3	1	0.026452579165281084	0.0	0.0	0.805	0.0	37.0	0.5537884612701834	14.0	15143.0	3437.0	0.3783783783783784	0.22696955689097273
chr1	27189632	27190947	ENSG00000175793	27189631	27189632	1315	1.9	1	0.2560276031223408	0.0	0.0	0.704	0.0	37.0	0.5537884612701834	14.0	15143.0	3437.0	0.3783783783783784	0.22696955689097273
chr1	27202623	27216788	ENSG00000142751	27202622	27202623	14165	8.1	1	0.013618532581453005	1.0	0.0	0.852	1.0	37.0	0.5537884612701834	14.0	15143.0	3437.0	0.3783783783783784	0.22696955689097273
chr1	27216978	27226957	ENSG00000198746	27216977	27216978	9979	4.9	1	0.020948426384769386	0.0	0.0	1.263	0.0	33.0	0.5426843195387043	12.0	13423.0	2743.0	0.36363636363636365	0.20435074126499292
chr1	27648650	27662891	ENSG00000186501	27648649	27648650	14241	19.2	1	0.01774962179850806	1.0	0.0	1.485	0.0	36.0	0.37711783933262705	6.0	19923.0	7548.0	0.16666666666666666	0.378858605631682
chr1	27668512	27680421	ENSG00000142765	27668511	27668512	11909	0.8	0	0.3116163421981336	0.0	0.0	1.056	0.0	36.0	0.37711783933262705	6.0	19923.0	7548.0	0.16666666666666666	0.378858605631682
chr1	27681674	27693383	ENSG00000142733	27681673	27681674	11709	5.7	1	0.07259629287238857	0.0	0.0	0.768	0.0	36.0	0.37711783933262705	6.0	19923.0	7548.0	0.16666666666666666	0.378858605631682
chr1	27695602	27701315	ENSG00000142748	27695601	27695602	5713	62.9	1	0.4659250799746126	0.0	0.0	0.896	0.0	36.0	0.37711783933262705	6.0	19923.0	7548.0	0.16666666666666666	0.378858605631682
chr1	27705665	27709870	ENSG00000174950	27705664	27705665	4205	0.0	0	0.4386196078742469	0.0	0.0	1.575	0.0	36.0	0.37711783933262705	6.0	19923.0	7548.0	0.16666666666666666	0.378858605631682
chr1	27719147	27722318	ENSG00000181773	27719146	27719147	3171	0.0	0	0.18541162720396973	0.0	0.0	1.543	0.0	36.0	0.37711783933262705	6.0	19923.0	7548.0	0.16666666666666666	0.378858605631682
chr1	27730729	27816669	ENSG00000158195	27730728	27730729	85940	6.5	1	0.023898186252685867	0.0	1.0	0.311	0.0	36.0	0.37711783933262705	6.0	19923.0	7548.0	0.16666666666666666	0.378858605631682
chr1	27860545	27930942	ENSG00000126705	27860544	27860545	70397	3.1	1	0.03851818634445243	0.0	1.0	0.076	0.0	49.0	0.3474446697974645	7.0	26168.0	9459.0	0.14285714285714285	0.3614720269030877
chr1	27938574	27961788	ENSG00000000938	27938573	27938574	23214	4.2	1	0.27447210583503223	0.0	0.0	0.425	0.0	39.0	0.32316694958932496	5.0	20529.0	8071.0	0.1282051282051282	0.39315115202883727
chr1	27992571	27998729	ENSG00000126709	27992570	27992571	6158	62.2	1	0.036460655078817496	0.0	0.0	1.648	0.0	39.0	0.32316694958932496	5.0	20529.0	8071.0	0.1282051282051282	0.39315115202883727
chr1	28473676	28520447	ENSG00000169403	28473675	28473676	46771	0.5	0	0.1701987165906701	0.0	0.0	0.848	0.0	20.0	0.5986574660325981	9.0	9390.0	593.0	0.45	0.06315228966986156
chr1	28525966	28559536	ENSG00000126698	28525965	28525966	33570	24.2	1	0.006225763994330821	1.0	0.0	0.587	0.0	20.0	0.5986574660325981	9.0	9390.0	593.0	0.45	0.06315228966986156
chr1	28586037	28609002	ENSG00000130766	28586036	28586037	22965	9.8	1	0.06255638148796477	0.0	0.0	0.906	0.0	23.0	0.9098881249889476	20.0	11450.0	1271.0	0.8695652173913043	0.11100436681222707
chr1	28655512	28662476	ENSG00000130772	28655511	28655512	6964	6.3	1	0.040225896464676614	0.0	0.0	1.672	1.0	23.0	0.9098881249889476	20.0	11450.0	1271.0	0.8695652173913043	0.11100436681222707
chr1	28696113	28826881	ENSG00000204138	28696112	28696113	130768	5.7	1	0.01755884048069321	1.0	0.0	0.689	0.0	23.0	0.9098881249889476	20.0	11450.0	1271.0	0.8695652173913043	0.11100436681222707
chr1	28832454	28865812	ENSG00000180198	28832453	28832454	33358	10.7	1	0.04409220987038316	0.0	0.0	0.357	1.0	10.0	0.615566674399942	5.0	4965.0	654.0	0.5	0.13172205438066464
chr1	28879596	28905051	ENSG00000180098	28879595	28879596	25455	1.2	1	0.005426121400436824	1.0	0.0	0.825	1.0	10.0	0.615566674399942	5.0	4965.0	654.0	0.5	0.13172205438066464
chr1	28915834	28969597	ENSG00000120656	28915833	28915834	53763	7.3	1	0.009213900817773173	1.0	1.0	0.317	1.0	10.0	0.615566674399942	5.0	4965.0	654.0	0.5	0.13172205438066464
chr1	28918711	28921955	ENSG00000188060	28918710	28918711	3244	0.2	0	0.11662386356029986	0.0	0.0	1.935	0.0	10.0	0.615566674399942	5.0	4965.0	654.0	0.5	0.13172205438066464
chr1	29445939	29450447	ENSG00000253304	29445938	29445939	4508	3.3	1	0.1389891466099536	0.0	0.0	1.379	0.0	19.0	0.7126973962492916	12.0	10537.0	2794.0	0.631578947368421	0.26516086172534875
chr1	29474254	29508499	ENSG00000116350	29474253	29474254	34245	38.3	1	0.01251389353650343	1.0	0.0	0.378	0.0	19.0	0.7126973962492916	12.0	10537.0	2794.0	0.631578947368421	0.26516086172534875
chr1	29519384	29557454	ENSG00000116353	29519383	29519384	38070	6.6	1	0.06704493053487946	0.0	0.0	0.848	1.0	19.0	0.7126973962492916	12.0	10537.0	2794.0	0.631578947368421	0.26516086172534875
chr1	31205315	31230667	ENSG00000162511	31205314	31205315	25352	15.0	1	0.20895822335078346	0.0	0.0	0.4	0.0	31.0	0.4496438086506452	6.0	15748.0	1246.0	0.1935483870967742	0.07912115824231648
chr1	31342313	31381608	ENSG00000162512	31342312	31342313	39295	3.5	1	0.09732258780510823	0.0	0.0	0.664	0.0	31.0	0.4496438086506452	6.0	15748.0	1246.0	0.1935483870967742	0.07912115824231648
chr1	31732416	31769662	ENSG00000060688	31732415	31732416	37246	5.3	1	0.01182917998212121	1.0	0.0	0.398	0.0	1.0	0.4218703473642241	0.0	292.0	42.0	0.0	0.14383561643835616
chr1	31769841	31837783	ENSG00000121766	31769840	31769841	67942	6.5	1	0.05449506169507742	0.0	0.0	0.842	0.0	1.0	0.4218703473642241	0.0	292.0	42.0	0.0	0.14383561643835616
chr1	31838471	31849697	ENSG00000121769	31838470	31838471	11226	2.4	1	0.5677078643678684	0.0	0.0	0.865	0.0	1.0	0.4218703473642241	0.0	292.0	42.0	0.0	0.14383561643835616
chr1	31882411	31907525	ENSG00000168528	31882410	31882411	25114	103.8	1	0.3480131180142423	0.0	0.0	1.248	0.0	17.0	0.6271945812701728	8.0	8626.0	747.0	0.47058823529411764	0.08659865522837931
chr1	32372021	32410457	ENSG00000184007	32372020	32372021	38436	24.7	1	0.04664410870927932	1.0	1.0	0.284	0.0	21.0	0.4323004638989277	6.0	8359.0	1354.0	0.2857142857142857	0.16198109821749013
chr1	32479429	32526451	ENSG00000121774	32479428	32479429	47022	12.9	1	0.014764671196430053	1.0	1.0	0.24	0.0	27.0	0.5031061581207057	10.0	11360.0	1571.0	0.37037037037037035	0.13829225352112676
chr1	32537631	32568467	ENSG00000121775	32537630	32537631	30836	1.8	1	0.013152262575735284	0.0	0.0	0.617	0.0	9.0	0.6370884885150218	5.0	4421.0	452.0	0.5555555555555556	0.10223931237276634
chr1	32573638	32642169	ENSG00000025800	32573637	32573638	68531	6.5	1	0.030706662041860518	0.0	1.0	0.224	0.0	9.0	0.6370884885150218	5.0	4421.0	452.0	0.5555555555555556	0.10223931237276634
chr1	32645286	32663886	ENSG00000084652	32645285	32645286	18600	18.6	1	0.019224599033775696	1.0	1.0	0.24	0.0	8.0	0.5917245495793995	4.0	4073.0	381.0	0.5	0.09354284311318438
chr1	32757686	32799236	ENSG00000116478	32757685	32757686	41550	16.3	1	0.04624674774257672	0.0	0.0	0.405	0.0	18.0	0.5266473651947656	8.0	10263.0	1240.0	0.4444444444444444	0.12082237162623015
chr1	32799432	32801980	ENSG00000175130	32799431	32799432	2548	14.9	1	0.1514544559015366	0.0	0.0	1.633	0.0	18.0	0.5266473651947656	8.0	10263.0	1240.0	0.4444444444444444	0.12082237162623015
chr1	32817121	32829913	ENSG00000162526	32817120	32817121	12792	1.0	0	0.040757723125733	0.0	0.0	1.036	0.0	18.0	0.5266473651947656	8.0	10263.0	1240.0	0.4444444444444444	0.12082237162623015
chr1	32826870	32829879	ENSG00000225828	32826869	32826870	3009	3.5	1	0.03781943185845321	0.0	0.0	1.911	0.0	18.0	0.5266473651947656	8.0	10263.0	1240.0	0.4444444444444444	0.12082237162623015
chr1	32830703	32860332	ENSG00000160058	32830702	32830703	29629	26.5	1	0.012839195107316462	1.0	0.0	0.584	0.0	18.0	0.5266473651947656	8.0	10263.0	1240.0	0.4444444444444444	0.12082237162623015
chr1	33005027	33071540	ENSG00000160062	33005026	33005027	66513	0.7	0	0.03053852873499941	0.0	0.0	0.736	0.0	1.0	0.3288122585287603	0.0	325.0	13.0	0.0	0.04
chr1	33065772	33116504	ENSG00000176261	33065771	33065772	50732	8.6	1	0.020803952504797697	1.0	0.0	0.495	0.0	1.0	0.3288122585287603	0.0	325.0	13.0	0.0	0.04
chr1	33116742	33151812	ENSG00000162521	33116741	33116742	35070	9.8	1	0.009084802330515387	1.0	1.0	0.253	1.0	1.0	0.3288122585287603	0.0	325.0	13.0	0.0	0.04
chr1	33145506	33169197	ENSG00000162520	33145505	33145506	23691	1.2	1	0.2965969539463933	0.0	0.0	0.867	0.0	1.0	0.3288122585287603	0.0	325.0	13.0	0.0	0.04
chr1	33402045	33430286	ENSG00000116514	33402044	33402045	28241	4.0	1	0.011814716170991032	0.0	0.0	0.354	0.0	13.0	0.6202840973366079	7.0	6660.0	1283.0	0.5384615384615384	0.19264264264264264
chr1	33473584	33546597	ENSG00000004455	33473583	33473584	73013	68.4	1	0.045713725460742406	1.0	0.0	1.223	0.0	13.0	0.6202840973366079	7.0	6660.0	1283.0	0.5384615384615384	0.19264264264264264
chr1	33789223	33896653	ENSG00000134686	33789222	33789223	107430	52.1	1	0.05394902212454785	1.0	0.0	0.387	0.0	10.0	0.3820943446236313	2.0	7901.0	907.0	0.2	0.11479559549424123
chr1	33979608	34631443	ENSG00000121904	33979607	33979608	651835	0.0	0	0.3748051023310676	0.0	0.0	0.0	0.0	0.0		0.0				
chr1	35734567	35887659	ENSG00000146463	35734566	35734567	153092	3.5	1	0.00974903292939572	0.0	1.0	0.175	0.0	3.0	0.7294974790142504	2.0	1565.0	0.0	0.6666666666666666	0.0
